,,,,
TABLE 1,,,,
,,Xmin,,
CHEESE BALLS IN HOT GARLIC SAUSE,280,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
NONVEG STARTER NONVEG CHINESE,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
GOLDEN FRIED CHICKEN,280,NoneNoneNoneNone,,
chefs Special ),,NoneNoneNoneNone,,
EGGS CHICKEN ROOLS,280,NoneNoneNoneNone,,
CHICKEN WITH CHINESE PARSLEY DRY,280,NoneNoneNoneNone,,
( sliced with chicken cooked in tangy parsley sauce ),,NoneNoneNoneNone,,
CHICKEN IN SCHEZWAN STYLE DRY,280,NoneNoneNoneNone,,
Chicken cooked with schezwan chilly sauce ),,NoneNoneNoneNone,,
LEMON PEPPER CHICKEN DRY,280,NoneNoneNoneNone,,
( chicken cooked in lemon and honey & pepper sauce ),,NoneNoneNoneNone,,
CHILLY CHICKEN,280,NoneNoneNoneNone,,
CHILLY NUTS CHICKEN,280,NoneNoneNoneNone,,
CHICKEN SPRIG ROLL,360,NoneNoneNoneNone,,
CHICKEN MANCHURIAN,280,NoneNoneNoneNone,,
DRUMS OF HEAVAN,380,NoneNoneNoneNone,,
CHICKEN LOLIPOP,280,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
RICE AND NOODLES,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
VEG HAKKA NOODLES,190,NoneNoneNoneNone,,
VEG CHILLY GARLIC NOODLES,210,NoneNoneNoneNone,,
VEG HONG KONG NOODELS,190,NoneNoneNoneNone,,
AMERICAN CHOPSUEY,190,NoneNoneNoneNone,,
VEG HONG KONG FRIED RICE,190,NoneNoneNoneNone,,
VEG SHANGHAI FRIED RICE,190,NoneNoneNoneNone,,
SCHEZWAN FRIED RICE,190,NoneNoneNoneNone,,
VEG FRIED RICE,170,NoneNoneNoneNone,,
CHICKEN FRIED RICE,210,NoneNoneNoneNone,,
CHICKEN SCHEZWAN FRIED RICE,210,NoneNoneNoneNone,,
CHICKEN HONG KONG FRIED RICE,240,NoneNoneNoneNone,,
CHICKEN HAKKA NOODLES,210,NoneNoneNoneNone,,
CHICHEN SCHEZWAN HAKKA NOODLES,240,NoneNoneNoneNone,,
CHICKEN SHANGAI FRIED RICE,240,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
MAIN COURSE NON VEG AND VEG CHINESE,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
CHICKEN WITH BLACK BEAN SAUCE,240,NoneNoneNoneNone,,
CHICKEN WITH HOT GARLIC SAUCE,240,NoneNoneNoneNone,,
CHICKEN IN LEMON HONEY SAUCE,240,NoneNoneNoneNone,,
CHICKEN WITH YOUR CHOICE SAUCE,240,NoneNoneNoneNone,,
chilly Tomato / Soya Garlic / Butter Papper / Pinut Sauce ),,NoneNoneNoneNone,,
CHILLY CHICKEN IN OYASTER SAUCE,280,NoneNoneNoneNone,,
GINGER CHICKEN,240,NoneNoneNoneNone,,
COTTAGE CHEESE WITH GRIELD ONION GARLIC SAUSE,240,NoneNoneNoneNone,,
TWIN CORN MUSHROOM WITH DEVIL SAUSE,280,NoneNoneNoneNone,,
VEGATABLE MANCHURIAN,210,NoneNoneNoneNone,,
VEGATABLE CHILLY WITH HOT GARLIC SAUCE,210,NoneNoneNoneNone,,
