,,,,
TABLE 1,,,,
,,Xmax,,
CHANA PESHAWARI,220,0,,
( chickpeas cookedin tangy tomato and onion grevy ),,0,,
,,0,,
INDIAN MAIN COURSE NON VEG,,0,,
,,0,,
MURG PESHAWARI,280,0,,
( Special chicken preparation from north est cuisine,,0,,
KADHAI MURG,280,0,,
chef speciality ),,0,,
MURG ADRAKI,280,0,,
MURG SAGWALA,280,0,,
MURG TIKKA MASALA,290,0,,
Chicken tikka in tomato Onion Gravy ),,0,,
MURG PATIYALA,330,0,,
( Chicken Stuffed In Egg Omlate With Rich tomato gravy ),,0,,
MURG MAKHANWALA,290,0,,
( punjabi Special zaika ),,0,,
MURG HANDI HALF,380,0,,
MURG HANDI FULL,650,0,,
MURG RAHRA,330,0,,
( Special chicken preparation with kheema cooked in rich gravy ),,0,,
MURG LABABDAR,330,0,,
( Special chicken cooked with clay oven in rich tomato gravy ),,0,,
MURG AMRUTSARI,330,0,,
( grild chicken served spice with special punjabi gravy ),,0,,
MURG MASALA / CURRY,280,0,,
MUTTON ROGAN JOSH,320,0,,
( exotic mutton Dish With Kashmiri Style ),,0,,
MUTTON BHOONA,380,0,,
special mutton cooked with tradatinol black masala ),,0,,
MUTTON MARATHA,320,0,,
( special mutton cooked in home style ),,0,,
MUTTON SAGWALA,320,0,,
( special mutthon cooked with spinach ),,0,,
MUTTON MASALA / CURRY,320,0,,
MUTTON HANDI HALF,410,0,,
MUTTON HANDI FULL,750,0,,
,,0,,
DAL,,0,,
,,0,,
YELOOW DAL TADKEWALI,130,0,,
YELOOW DAL FRY,120,0,,
YELOOW DAL BUTTER,130,0,,
DAL MAKHANI,160,0,,
,,0,,
INDIAN BREAD,,0,,
,,0,,
TANDOORI ROTI,22,0,,
BUTTTER ROTI,30,0,,
NAAN / BUTTER,45/55,0,,
