,,,,
TABLE 1,,,,
,,,,
"GARLIC NAAN
CHEESE GARLIC",75,,,
"CHEESE GARLIC NAAN
KULCHA",95,,,
"KULCHA
BUTTER KULCHA",45,,,
"BUTTER KULCHA
LACCHEDAR PARATHA",55,,,
LACCHEDAR PARATHA / BUTTER MASALA ROTI,45/55,,,
"MASALA ROTI
RUMALI ROTI",55,,,
"RUMALI ROTI
BUTTER RUMALI",65,,,
"BUTTER RUMALI ROTI .
JAWAR BHAKRI",75,,,
"JAWAR BHAKRI
BAJRI",35,,,
"BAJRI BHAKARI
TANDOORI",35,,,
TANDOORI BASKET,480,,,
RICE,,,,
RICE,,,,
,,,,
STEAM RICE HALF / FULL,80/110,,,
JEERA RICE HALF / FULL,90/130,,,
VEGATABLE PULAO,220,,,
SHAHI DUM BIRYANI,280,,,
DAL KHICHADI,160,,,
BUTEER DAL KHICHADI,180,,,
MURG TIKKA BIRYANI,280,,,
MURH SHAHI DUM BIRYANI,330,,,
MURG TAHARI,280,,,
,,,,
,,,,
SWEET,,,,
FRUIT AND HONEY DELIGTE,210,,,
SUPRIME ALASKA,210,,,
CARAMAL CUSTERD,210,,,
CHOICE OF MOUSSE,160,,,
Chocolate / pineapple / mango ),,,,
CHEF SPECIAL SWEET OF THE DAY,240,,,
( Ask your server ),,,,
"(
FRUIT SALAD",160,,,
FRUIT CUSTERD,160,,,
CHOICE OF ICE CREAM,75,,,
( Vanila / Strawery / mango / chocklet / butter scoch / Clasic Casata ),,,,
