,,,,
TABLE 1,,,,
,,Xmin,,
GREAK SALAD,110,NoneNoneNoneNone,,
KIMCHI SALAD,110,NoneNoneNoneNone,,
CEASAR SALAD,130,NoneNoneNoneNone,,
CLASSIC CHICKEN SEASAR SALAD,160,NoneNoneNoneNone,,
CLASSIC PASTA SALAD WITH CHICKEN,180,NoneNoneNoneNone,,
CLASSIC CHICKEN TOASD SALAD,180,NoneNoneNoneNone,,
ALOO CHANA CHAAT,140,NoneNoneNoneNone,,
ALOO CHAAT,140,NoneNoneNoneNone,,
RAITA,160,NoneNoneNoneNone,,
( Boondi / Pineapple / Mix Veg / Aloo ),,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
SANDWICHES AND SNAKS,,NoneNoneNoneNone,,
VEGATABLE CUTLETS,180,NoneNoneNoneNone,,
( Servd With French Fries ),,NoneNoneNoneNone,,
CHICKEN CUTLETS,190,NoneNoneNoneNone,,
SERVD WITH FRENCH FRIES ),,NoneNoneNoneNone,,
VEGATABLE SANDWICH,95,NoneNoneNoneNone,,
VEGATABLE CHEESE SANDWICH,110,NoneNoneNoneNone,,
VEGATABLE TOASTED SANDWICH,110,NoneNoneNoneNone,,
VWGATABLE CLUB SANDWICH,160,NoneNoneNoneNone,,
VEGATABLES GRIELD SANDWICH,160,NoneNoneNoneNone,,
EGG OMLET SANDWICH,130,NoneNoneNoneNone,,
CHICKEN SANDWICH,160,NoneNoneNoneNone,,
CHICKEN GRILD SANDWICH,160,NoneNoneNoneNone,,
CHICKEN CLUB SANDWICH,180,NoneNoneNoneNone,,
HOT BEVERAGE,25/45/95,NoneNoneNoneNone,,
Tea / black Tea / Coffee / Black Coffee / Hot Bournvita / Horliks ),,NoneNoneNoneNone,,
CHASS,60,NoneNoneNoneNone,,
LASSI,90,NoneNoneNoneNone,,
( Sweet / Salted / Mix DryFruit ),,NoneNoneNoneNone,,
MILK SHAKES,110,NoneNoneNoneNone,,
( Chocklet / strawery / Vanila / Mango ),,NoneNoneNoneNone,,
COLD COFFEE,110,NoneNoneNoneNone,,
COLD COFFEE WITH ICE CREAM,140,NoneNoneNoneNone,,
PACKDGE DRINKING WATER,30,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
PIZZA AND PASTA,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
EXITIC VEG PIZZA,140,NoneNoneNoneNone,,
"( A Made By Broccoli , olives , corn and mozzirilla )",,NoneNoneNoneNone,,
BARBEQUE MUSHROOM PIZA,180,NoneNoneNoneNone,,
PANEER TIKKA PIZZA,180,NoneNoneNoneNone,,
MARGERITTA PIZZA,180,NoneNoneNoneNone,,
CHICKEN TIKKA PIZZA,210,NoneNoneNoneNone,,
BARBEQUE CHICKEN PIZZA,210,NoneNoneNoneNone,,
SPEGHETTI ARABITA PASTA,310,NoneNoneNoneNone,,
( Servd with spicy tomata Sause cheese with garlic bread ),,NoneNoneNoneNone,,
FUSSALI ALFREDO PASTA,310,NoneNoneNoneNone,,
